generated_at,player,team,goal_share,expected_matches,expected_goals
2026-06-11,Youssef Mokhtari,Morocco,5.460353516802957e-05,5.138400000000001,0.0004439636592265
2026-06-11,Carlos Morais Caló,Cape Verde,0.0001210599329669,3.392,0.0004414688348403
2026-06-11,Damian Mori,Australia,6.978470798932836e-05,4.2312,0.0004390441158828
2026-06-11,Wissem Ben Yahia,Tunisia,0.0001027693958111,3.709,0.0004363610716904
2026-06-11,Édgar Barreto,Paraguay,9.494919103962194e-05,3.8496,0.000433433885062
2026-06-11,Fernando Hierro,Spain,2.6768139316053748e-05,6.1792,0.0004328175123437
2026-06-11,Marlon Ayoví,Ecuador,6.662020646661499e-05,4.6722,0.000427603489145
2026-06-11,Haminu Draman,Ghana,0.0001204586048188,3.346,0.0004268563410645
2026-06-11,Álvaro Recoba,Uruguay,5.614781742411428e-05,4.882,0.0004246206914655
2026-06-11,Elvis Macedo Babanco,Cape Verde,0.0001160141796219,3.392,0.0004230685037356
2026-06-11,Kanga Akalé,Ivory Coast,8.671469595823752e-05,3.9566,0.0004227704246643
2026-06-11,Hicham Aboucherouane,Morocco,5.180862137493472e-05,5.138400000000001,0.0004212391204034
2026-06-11,Ross McCormack,Scotland,8.199298724906457e-05,3.8444,0.0004207756332179
2026-06-11,Monsef Zerka,Morocco,5.1661251917846005e-05,5.138400000000001,0.0004200409070784
2026-06-11,Surprise Moriri,South Africa,0.0001021015503544,3.657,0.0004193515668186
2026-06-11,Thembinkosi Fanteni,South Africa,0.0001021015503544,3.657,0.0004193515668186
2026-06-11,Roman Wallner,Austria,7.602041749648437e-05,3.9324,0.0004178844749341
2026-06-11,Vitaliy Denisov,Uzbekistan,9.06132927001644e-05,3.7688,0.0004167828028601
2026-06-11,Sercan Yıldırım,Turkey,6.514421169621855e-05,3.9902,0.0004167291372127
2026-06-11,Giovanni Hernández,Colombia,4.0358285156424375e-05,5.1298,0.0004153966130866
2026-06-11,Atsuto Uchida,Japan,4.402640086635993e-05,4.9164,0.0004115842288697
2026-06-11,José Clayton,Tunisia,9.67699118512785e-05,3.709,0.0004108871333681
2026-06-11,Martin Stranzl,Austria,7.429895626872675e-05,3.9324,0.0004084215971314
2026-06-11,Winston Reid,New Zealand,0.0001326513537507,3.3254,0.0004083297136261
2026-06-11,Ammar Jemal,Tunisia,9.616076580152998e-05,3.709,0.0004083006860996
2026-06-11,Zlatan Bajramović,Bosnia and Herzegovina,0.0001312817022894,3.381,0.000407734550284
2026-06-11,Daniel Majstorović,Sweden,7.856681278707075e-05,3.597,0.0003995067508868
2026-06-11,Gökdeniz Karadeniz,Turkey,6.236887588727927e-05,3.9902,0.0003989752452395
2026-06-11,Paolo Montero,Uruguay,5.270709305835164e-05,4.882,0.000398600040506
2026-06-11,John Restrepo,Colombia,3.856259065060356e-05,5.1298,0.0003969140285822
2026-06-11,Garry O'Connor,Scotland,7.712801861007161e-05,3.8444,0.0003958093485595
2026-06-11,Luis Hernández,Mexico,5.629708803508366e-05,4.7836,0.0003938755433429
2026-06-11,Gill Swerts,Belgium,4.44599587882555e-05,4.8966,0.0003880083988177
2026-06-11,Gökhan Ünal,Turkey,6.058046432627213e-05,3.9902,0.0003875347321472
2026-06-11,Rui Costa,Portugal,3.185222307540136e-05,5.378,0.0003870213122776
2026-06-11,Shaun Bartlett,South Africa,9.419295124643956e-05,3.657,0.0003868693624273
2026-06-11,Mohsen Khalili,Iran,5.625688129163704e-05,4.3988,0.0003858343668101
2026-06-11,Ahmed Al-Mousa,Saudi Arabia,0.00011687103853,3.5084,0.0003841904456633
2026-06-11,Hatem Aqel,Jordan,8.285688403593462e-05,3.5092,0.0003838083539711
2026-06-11,Steve Ralston,United States,6.268525640073617e-05,4.2808,0.0003820701219369
2026-06-11,Josh Wolff,United States,6.245966281558975e-05,4.2808,0.0003806951164965
2026-06-11,Mattias Jonson,Sweden,7.486151852563308e-05,3.597,0.0003806655885824
2026-06-11,Jafar Irismetov,Uzbekistan,8.231654336768973e-05,3.7688,0.0003786212667501
2026-06-11,Ivica Vastić,Austria,6.869838963274577e-05,3.9324,0.0003776352646554
2026-06-11,Mohammad Al-Shalhoub,Saudi Arabia,0.0001147446981002,3.5084,0.0003772005216614
2026-06-11,Kader Mangane,Senegal,5.907114810266e-05,4.324,0.0003764033978628
2026-06-11,Raúl Tamudo,Spain,2.32789508489374e-05,6.1792,0.0003764003720036
2026-06-11,Mitsuo Ogasawara,Japan,3.984012684813288e-05,4.9164,0.0003724485209825
2026-06-11,Darío Rodríguez,Uruguay,4.859090461692955e-05,4.882,0.000367471158523
2026-06-11,Jorge Dely Valdés,Panama,7.019256932259647e-05,3.7,0.0003665512703843
2026-06-11,Earnie Stewart,United States,6.008493927172299e-05,4.2808,0.0003662210445046
2026-06-11,Leonel Saint-Preux,Haiti,0.0001092696012066,3.2064,0.0003662012998427
2026-06-11,Ludovic Giuly,France,3.14527352145884e-05,5.4928,0.0003656543472289
2026-06-11,Gilberto,Brazil,3.102698454662696e-05,5.6642,0.0003641696350575
2026-06-11,Stefan Maierhofer,Austria,6.617541789881432e-05,3.9324,0.0003637664810703
2026-06-11,Frankie Oviedo,Colombia,3.5017718381195046e-05,5.1298,0.0003604276434736
